#gene	refseq	ensembl
OR4F5	NM_001005484.2	ENST00000641515.2
ELOVL1	NM_022821.4	ENST00000372458.8
MED8	NM_201542.5	ENST00000372457.9
SZT2	NM_001365999.1	ENST00000634258.3
HYI	NM_001190880.3	ENST00000372430.9
PTPRF	NM_002840.5	ENST00000359947.9
KDM4A	NM_014663.3	ENST00000372396.4
ST3GAL3	NM_006279.5	ENST00000347631.8
ARTN	NM_057091.3	ENST00000372359.10
IPO13	NM_014652.4	ENST00000372343.8
DPH2	NM_001384.5	ENST00000255108.8
ATP6V0B	NM_004047.5	ENST00000472174.7
B4GALT2	NM_003780.5	ENST00000372324.6
CCDC24	NM_152499.4	ENST00000372318.8
SLC6A9	NM_001024845.3	ENST00000372310.8
KLF17	NM_173484.4	ENST00000372299.4
KLF18	NM_001358438.1	ENST00000634670.1
DMAP1	NM_019100.5	ENST00000372289.7
ERI3	NM_024066.3	ENST00000372257.7
RNF220	NM_018150.4	ENST00000361799.7
TMEM53	NM_024587.4	ENST00000372237.8
ARMH1	NM_001145636.2	ENST00000535358.6
KIF2C	NM_006845.4	ENST00000372224.9
RPS8	NM_001012.2	ENST00000396651.8
BEST4	NM_153274.3	ENST00000372207.4
PLK3	NM_004073.4	ENST00000372201.5
DYNLT4	NM_001377534.1	ENST00000339355.3
BTBD19	NM_001136537.3	ENST00000450269.6
PTCH2	NM_003738.5	ENST00000372192.4
EIF2B3	NM_020365.5	ENST00000360403.7
HECTD3	NM_024602.6	ENST00000372172.5
UROD	NM_000374.5	ENST00000246337.9
ZSWIM5	NM_020883.2	ENST00000359600.6
HPDL	NM_032756.4	ENST00000334815.6
MUTYH	NM_001048174.2	ENST00000456914.7
TOE1	NM_025077.4	ENST00000372090.6
TESK2	NM_007170.3	ENST00000372086.4
CCDC163	NM_001102601.3	ENST00000629482.3
MMACHC	NM_015506.3	ENST00000401061.9
PRDX1	NM_181697.3	ENST00000319248.13
AKR1A1	NM_153326.3	ENST00000351829.9
NASP	NM_002482.4	ENST00000350030.8
CCDC17	NM_001114938.3	ENST00000528266.6
GPBP1L1	NM_021639.5	ENST00000355105.8
TMEM69	NM_016486.4	ENST00000372025.5
IPP	NM_005897.3	ENST00000396478.4
MAST2	NM_015112.3	ENST00000361297.7
PIK3R3	NM_003629.4	ENST00000262741.10
TSPAN1	NM_005727.4	ENST00000372003.6
P3R3URF	NM_001328655.2	ENST00000506599.2
POMGNT1	NM_017739.4	ENST00000371984.8
LURAP1	NM_001013615.3	ENST00000371980.4
RAD54L	NM_003579.4	ENST00000371975.9
LRRC41	NM_006369.5	ENST00000617190.5
UQCRH	NM_006004.4	ENST00000311672.10
NSUN4	NM_199044.4	ENST00000474844.6
FAAH	NM_001441.3	ENST00000243167.9
DMBX1	NM_172225.2	ENST00000360032.4
TMEM275	NM_001396071.1	ENST00000697682.1
KNCN	NM_001322255.2	ENST00000481882.7
MKNK1	NM_001135553.4	ENST00000371945.10
MOB3C	NM_201403.3	ENST00000319928.9
ATPAF1	NM_001394565.1	ENST00000574428.6
TEX38	NM_001145474.4	ENST00000334122.5
EFCAB14	NM_014774.3	ENST00000371933.8
CYP4B1	NM_001099772.2	ENST00000371923.9
CYP4A11	NM_000778.4	ENST00000310638.9
CYP4X1	NM_178033.2	ENST00000371901.4
CYP4Z1	NM_178134.3	ENST00000334194.4
CYP4A22	NM_001010969.4	ENST00000371891.8
PDZK1IP1	NM_005764.4	ENST00000294338.7
TAL1	NM_001290403.2	ENST00000691006.1
STIL	NM_001048166.1	ENST00000371877.8
CMPK1	NM_016308.3	ENST00000371873.10
FOXE3	NM_012186.3	ENST00000335071.4
FOXD2	NM_004474.4	ENST00000334793.6
TRABD2B	NM_001194986.2	ENST00000606738.3
SLC5A9	NM_001011547.3	ENST00000438567.7
SPATA6	NM_019073.4	ENST00000371847.8
AGBL4	NM_032785.4	ENST00000371839.6
BEND5	NM_024603.4	ENST00000371833.4
ELAVL4	NM_001144774.3	ENST00000371824.7
DMRTA2	NM_032110.3	ENST00000404795.4
FAF1	NM_007051.3	ENST00000396153.7
CDKN2C	NM_078626.3	ENST00000371761.4
C1orf185	NM_001136508.2	ENST00000371759.7
RNF11	NM_014372.5	ENST00000242719.4
TTC39A	NM_001297663.2	ENST00000680483.1
EPS15	NM_001981.3	ENST00000371733.8
OSBPL9	NM_024586.6	ENST00000428468.6
NRDC	NM_001101662.2	ENST00000352171.12
RAB3B	NM_002867.4	ENST00000371655.4
TXNDC12	NM_015913.4	ENST00000371626.9
KTI12	NM_138417.3	ENST00000371614.2
BTF3L4	NM_152265.5	ENST00000313334.13
ZFYVE9	NM_004799.4	ENST00000287727.8
CC2D1B	NM_001330585.2	ENST00000284376.8
ORC1	NM_004153.4	ENST00000371568.8
PRPF38A	NM_032864.4	ENST00000257181.10
TUT4	NM_001009881.3	ENST00000257177.9
GPX7	NM_015696.5	ENST00000361314.5
SHISAL2A	NM_001042693.3	ENST00000517870.2
COA7	NM_023077.3	ENST00000371538.5
ZYG11B	NM_024646.3	ENST00000294353.7
ZYG11A	NM_001004339.3	ENST00000371528.2
ECHDC2	NM_001198961.2	ENST00000371522.9
SCP2	NM_002979.5	ENST00000371514.8
PODN	NM_153703.5	ENST00000312553.10
SLC1A7	NM_006671.6	ENST00000371494.9
CPT2	NM_000098.3	ENST00000371486.4
CZIB	NM_017887.3	ENST00000294360.5
MAGOH	NM_002370.4	ENST00000371470.8
LRP8	NM_004631.5	ENST00000306052.12
DMRTB1	NM_033067.3	ENST00000371445.3
GLIS1	NM_001367484.1	ENST00000628545.2
NDC1	NM_018087.5	ENST00000371429.4
YIPF1	NM_018982.5	ENST00000072644.7
DIO1	NM_000792.7	ENST00000361921.8
IFT25	NM_016126.4	ENST00000194214.10
LRRC42	NM_001256409.2	ENST00000371370.8
LDLRAD1	NM_001010978.4	ENST00000371360.2
TMEM59	NM_004872.5	ENST00000234831.10
TCEANC2	NM_153035.3	ENST00000234827.6
CDCP2	NM_001353655.3	ENST00000530059.3
CYB5RL	NM_001031672.4	ENST00000534324.6
MRPL37	NM_016491.4	ENST00000360840.9
SSBP3	NM_145716.4	ENST00000610401.6
ACOT11	NM_147161.4	ENST00000343744.7
FAM151A	NM_176782.3	ENST00000302250.7
MROH7	NM_001039464.4	ENST00000421030.7
TTC4	NM_004623.5	ENST00000371281.4
PARS2	NM_152268.4	ENST00000371279.4
TTC22	NM_001114108.2	ENST00000371276.9
CIMAP2	NM_001110533.2	ENST00000371273.4
DHCR24	NM_014762.4	ENST00000371269.9
TMEM61	NM_182532.3	ENST00000371268.4
BSND	NM_057176.3	ENST00000651561.1
PCSK9	NM_174936.4	ENST00000302118.5
USP24	NM_015306.3	ENST00000294383.7
PLPP3	NM_003713.5	ENST00000371250.4
PRKAA2	NM_006252.4	ENST00000371244.9
FYB2	NM_001004303.5	ENST00000343433.7
C8A	NM_000562.3	ENST00000361249.4
C8B	NM_000066.4	ENST00000371237.9
DAB1	NM_001365792.1	ENST00000371236.7
OMA1	NM_145243.5	ENST00000371226.8
TACSTD2	NM_002353.3	ENST00000371225.4
MYSM1	NM_001085487.3	ENST00000472487.6
JUN	NM_002228.4	ENST00000371222.4
FGGY	NM_018291.5	ENST00000303721.12
HOOK1	NM_015888.6	ENST00000371208.5
CYP2J2	NM_000775.4	ENST00000371204.4
C1orf87	NM_152377.3	ENST00000371201.3
NFIA	NM_001134673.4	ENST00000403491.8
TM2D1	NM_032027.3	ENST00000606498.5
PATJ	NM_001350145.3	ENST00000642238.2
L1TD1	NM_019079.5	ENST00000498273.2
KANK4	NM_181712.5	ENST00000371153.9
USP1	NM_003368.5	ENST00000339950.5
DOCK7	NM_001367561.1	ENST00000635253.2
ANGPTL3	NM_014495.4	ENST00000371129.4
ATG4C	NM_032852.4	ENST00000317868.9
FOXD3	NM_012183.3	ENST00000371116.4
ALG6	NM_013339.4	ENST00000263440.6
ITGB3BP	NM_014288.5	ENST00000271002.15
EFCAB7	NM_032437.4	ENST00000371088.5
PGM1	NM_002633.3	ENST00000371084.8
ROR1	NM_005012.4	ENST00000371079.6
UBE2U	NM_001366232.2	ENST00000371077.10
CACHD1	NM_020925.4	ENST00000651257.2
RAVER2	NM_001366165.2	ENST00000294428.8
JAK1	NM_002227.4	ENST00000342505.5
AK4	NM_013410.4	ENST00000327299.8
DNAJC6	NM_001256864.2	ENST00000371069.5
LEPR	NM_002303.6	ENST00000349533.11
LEPROT	NM_017526.5	ENST00000371065.9
PDE4B	NM_002600.4	ENST00000341517.9
SGIP1	NM_032291.4	ENST00000371037.9
DYNLT5	NM_152665.3	ENST00000282670.7
INSL5	NM_005478.6	ENST00000304526.3
DNAI4	NM_024763.5	ENST00000371026.8
MIER1	NM_001077700.3	ENST00000401041.6
SLC35D1	NM_015139.3	ENST00000235345.6
C1orf141	NM_001276351.2	ENST00000684719.1
IL23R	NM_144701.3	ENST00000347310.10
IL12RB2	NM_001374259.2	ENST00000674203.2
SERBP1	NM_001018069.2	ENST00000361219.11
GADD45A	NM_001924.4	ENST00000370986.9
GNG12	NM_018841.6	ENST00000370982.4
DIRAS3	NM_004675.5	ENST00000646789.1
WLS	NM_024911.7	ENST00000262348.9
RPE65	NM_000329.3	ENST00000262340.6
DEPDC1	NM_001114120.3	ENST00000456315.7
LRRC7	NM_001370785.2	ENST00000651989.2
LRRC40	NM_017768.5	ENST00000370952.4
SRSF11	NM_001350605.2	ENST00000370949.2
ANKRD13C	NM_030816.5	ENST00000370944.9
CTH	NM_001902.6	ENST00000370938.8
PTGER3	NM_198719.2	ENST00000306666.10
ZRANB2	NM_203350.3	ENST00000370920.8
NEGR1	NM_173808.3	ENST00000357731.10
LRRIQ3	NM_001105659.2	ENST00000354431.9
FPGT	NM_003838.5	ENST00000370898.9
TNNI3K	NM_015978.3	ENST00000326637.8
LRRC53	NM_001382280.1	ENST00000294635.5
ERICH3	NM_001002912.5	ENST00000326665.10
CRYZ	NM_001889.4	ENST00000340866.10
TYW3	NM_138467.3	ENST00000370867.8
LHX8	NM_001256114.2	ENST00000356261.4
SLC44A5	NM_001130058.2	ENST00000370859.8
ACADM	NM_000016.6	ENST00000370841.9
RABGGTB	NM_004582.4	ENST00000319942.8
MSH4	NM_002440.4	ENST00000263187.4
ASB17	NM_080868.3	ENST00000284142.7
ST6GALNAC3	NM_152996.4	ENST00000328299.4
ST6GALNAC5	NM_030965.3	ENST00000477717.6
PIGK	NM_005482.3	ENST00000370812.8
AK5	NM_174858.3	ENST00000354567.7
ZZZ3	NM_015534.6	ENST00000370801.8
USP33	NM_201624.3	ENST00000370794.7
MIGA1	NM_001416120.1	ENST00000370791.9
NEXN	NM_144573.4	ENST00000334785.12
FUBP1	NM_003902.5	ENST00000370768.7
DNAJB4	NM_007034.5	ENST00000370763.6
GIPC2	NM_017655.6	ENST00000370759.4
PTGFR	NM_000959.4	ENST00000370757.8
IFI44L	NM_006820.4	ENST00000370751.10
IFI44	NM_006417.5	ENST00000370747.9
ADGRL4	NM_022159.4	ENST00000370742.4
ADGRL2	NM_001366006.2	ENST00000686636.1
TTLL7	NM_024686.6	ENST00000260505.13
PRKACB	NM_182948.4	ENST00000370685.7
SAMD13	NM_001134663.2	ENST00000394834.8
DNASE2B	NM_021233.3	ENST00000370665.4
RPF1	NM_025065.7	ENST00000370654.6
GNG5	NM_005274.3	ENST00000370645.9
SPATA1	NM_001397487.1	ENST00000699524.1
CTBS	NM_004388.3	ENST00000370630.6
SSX2IP	NM_001166293.2	ENST00000342203.8
LPAR3	NM_012152.3	ENST00000370611.4
MCOLN2	NM_153259.4	ENST00000370608.8
MCOLN3	NM_018298.11	ENST00000370589.7
DNAI3	NM_145172.5	ENST00000294664.11
SYDE2	NM_032184.2	ENST00000341460.6
C1orf52	NM_198077.4	ENST00000471115.6
BCL10	NM_003921.5	ENST00000648566.1
DDAH1	NM_012137.4	ENST00000284031.13
CCN1	NM_001554.5	ENST00000451137.7
ZNHIT6	NM_017953.4	ENST00000370574.4
COL24A1	NM_152890.7	ENST00000370571.7
ODF2L	NM_001366781.1	ENST00000460698.7
CLCA2	NM_006536.7	ENST00000370565.5
CLCA1	NM_001285.4	ENST00000394711.2
CLCA4	NM_012128.4	ENST00000370563.3
SH3GLB1	NM_016009.5	ENST00000370558.8
SELENOF	NM_004261.5	ENST00000331835.10
HS2ST1	NM_012262.4	ENST00000370550.10
LMO4	NM_006769.4	ENST00000370544.10
PKN2	NM_006256.4	ENST00000370521.8
GTF2B	NM_001514.6	ENST00000370500.10
KYAT3	NM_001008661.3	ENST00000260508.9
RBMXL1	NM_001162536.3	ENST00000652648.1
GBP3	NM_018284.3	ENST00000370481.9
GBP1	NM_002053.3	ENST00000370473.5
GBP2	NM_004120.5	ENST00000370466.4
GBP7	NM_207398.3	ENST00000294671.3
GBP4	NM_052941.5	ENST00000355754.7
GBP5	NM_052942.5	ENST00000370459.8
GBP6	NM_198460.3	ENST00000370456.5
LRRC8B	NM_001369817.2	ENST00000330947.7
LOC128092251	NM_001414942.1	ENST00000676334.1
LRRC8C	NM_032270.5	ENST00000370454.9
LRRC8D	NM_001134479.2	ENST00000337338.9
ZNF326	NM_182976.4	ENST00000340281.9
BARHL2	NM_020063.2	ENST00000370445.5
ZNF644	NM_201269.3	ENST00000337393.10
HFM1	NM_001017975.6	ENST00000370425.8
CDC7	NM_003503.4	ENST00000234626.11
TGFBR3	NM_003243.5	ENST00000212355.9
BRDT	NM_207189.4	ENST00000399546.7
EPHX4	NM_173567.5	ENST00000370383.5
SETSIP	NM_001287737.2	ENST00000596516.3
BTBD8	NM_001376131.1	ENST00000636805.2
C1orf146	NM_001012425.2	ENST00000370375.8
GLMN	NM_053274.3	ENST00000370360.8
RPAP2	NM_024813.3	ENST00000610020.2
GFI1	NM_005263.5	ENST00000294702.6
EVI5	NM_001350197.2	ENST00000684568.2
RPL5	NM_000969.5	ENST00000370321.8
DIPK1A	NM_001006605.5	ENST00000370310.5
MTF2	NM_007358.4	ENST00000370298.9
TMED5	NM_016040.5	ENST00000370282.8
CCDC18	NM_001378204.1	ENST00000690025.1
DR1	NM_001938.3	ENST00000370272.9
FNBP1L	NM_001164473.3	ENST00000271234.13
BCAR3	NM_003567.4	ENST00000260502.11
DNTTIP2	NM_014597.5	ENST00000436063.7
GCLM	NM_002061.4	ENST00000370238.8
ABCA4	NM_000350.3	ENST00000370225.4
ARHGAP29	NM_004815.4	ENST00000260526.11
ABCD3	NM_002858.4	ENST00000370214.9
F3	NM_001993.5	ENST00000334047.12
SLC44A3	NM_001114106.3	ENST00000271227.11
CNN3	NM_001839.5	ENST00000370206.9
ALG14	NM_144988.4	ENST00000370205.6
TLCD4	NM_152487.3	ENST00000370203.9
RWDD3	NM_015485.5	ENST00000370202.5
PTBP2	NM_021190.4	ENST00000674951.1
DPYD	NM_000110.4	ENST00000370192.8
SNX7	NM_015976.5	ENST00000306121.8
PLPPR5	NM_001037317.2	ENST00000263177.5
PLPPR4	NM_014839.5	ENST00000370185.9
PALMD	NM_017734.5	ENST00000263174.9
FRRS1	NM_001361041.2	ENST00000646001.2
AGL	NM_000642.3	ENST00000361915.8
SLC35A3	NM_012243.3	ENST00000533028.8
MFSD14A	NM_033055.3	ENST00000370152.8
SASS6	NM_194292.3	ENST00000287482.6
TRMT13	NM_019083.3	ENST00000370141.8
LRRC39	NM_144620.4	ENST00000370137.6
DBT	NM_001918.5	ENST00000370132.8
RTCA	NM_003729.4	ENST00000370128.9
CDC14A	NM_003672.4	ENST00000336454.5
GPR88	NM_022049.3	ENST00000315033.5
VCAM1	NM_001078.4	ENST00000294728.7
EXTL2	NM_001033025.3	ENST00000370114.8
SLC30A7	NM_133496.5	ENST00000357650.9
DPH5	NM_015958.3	ENST00000370109.8
S1PR1	NM_001400.5	ENST00000305352.7
OLFM3	NM_058170.4	ENST00000370103.9
COL11A1	NM_001854.4	ENST00000370096.9
RNPC3	NM_017619.4	ENST00000423855.7
AMY2B	NM_001387437.1	ENST00000684275.1
AMY2A	NM_000699.4	ENST00000414303.7
AMY1A	NM_004038.4	ENST00000370083.9
AMY1B	NM_001008218.2	ENST00000330330.10
AMY1C	NM_001008219.3	ENST00000622339.5
PRMT6	NM_018137.3	ENST00000370078.2
NTNG1	NM_001113226.3	ENST00000370068.6
VAV3	NM_006113.5	ENST00000370056.9
SLC25A24	NM_013386.5	ENST00000565488.6
NBPF4	NM_001143989.3	ENST00000415641.8
NBPF6	NM_001143988.2	ENST00000495380.7
EEIG2	NM_001010883.3	ENST00000370035.8
HENMT1	NM_001102592.2	ENST00000651461.1
PRPF38B	NM_018061.4	ENST00000370025.9
FNDC7	NM_001144937.3	ENST00000370017.9
STXBP3	NM_007269.4	ENST00000370008.4
AKNAD1	NM_152763.5	ENST00000370001.8
GPSM2	NM_013296.5	ENST00000264126.9
CLCC1	NM_001377458.1	ENST00000369969.7
WDR47	NM_001142551.2	ENST00000369962.8
TAF13	NM_005645.4	ENST00000338366.6
TMEM167B	NM_020141.4	ENST00000338272.9
CFAP276	NM_001245025.3	ENST00000369948.8
ELAPOR1	NM_020775.5	ENST00000369939.8
SARS1	NM_006513.4	ENST00000234677.7
CELSR2	NM_001408.3	ENST00000271332.4
PSRC1	NM_001032291.3	ENST00000369909.7
MYBPHL	NM_001010985.3	ENST00000357155.2
SORT1	NM_002959.7	ENST00000256637.8
PSMA5	NM_002790.4	ENST00000271308.9
SYPL2	NM_001040709.2	ENST00000369872.4
ATXN7L2	NM_001350175.2	ENST00000683729.1
CYB561D1	NM_182580.3	ENST00000420578.7
AMIGO1	NM_020703.4	ENST00000369864.5
GPR61	NM_001393907.1	ENST00000527748.5
GNAI3	NM_006496.4	ENST00000369851.7
GNAT2	NM_001377295.2	ENST00000679935.1
AMPD2	NM_001368809.2	ENST00000528667.7
GSTM4	NM_000850.5	ENST00000369836.9
GSTM2	NM_000848.4	ENST00000241337.9
GSTM1	NM_000561.4	ENST00000309851.10
GSTM5	NM_000851.4	ENST00000256593.8
GSTM3	NM_000849.5	ENST00000361066.7
EPS8L3	NM_133181.4	ENST00000361965.9
CSF1	NM_000757.6	ENST00000329608.11
AHCYL1	NM_006621.7	ENST00000369799.10
STRIP1	NM_033088.4	ENST00000369795.8
ALX3	NM_006492.3	ENST00000647563.2
UBL4B	NM_203412.2	ENST00000334179.5
SLC6A17	NM_001010898.4	ENST00000331565.5
KCNC4	NM_001039574.3	ENST00000438661.3
RBM15	NM_022768.5	ENST00000369784.9
SLC16A4	NM_004696.3	ENST00000369779.9
LAMTOR5	NM_001382293.1	ENST00000602318.6
PROK1	NM_032414.3	ENST00000271331.4
KCNA10	NM_005549.2	ENST00000369771.4
KCNA2	NM_004974.4	ENST00000316361.10
KCNA3	NM_002232.5	ENST00000369769.4
CD53	NM_000560.4	ENST00000271324.6
LRIF1	NM_018372.4	ENST00000369763.5
DRAM2	NM_001349884.2	ENST00000484310.6
CEPT1	NM_006090.5	ENST00000357172.9
DENND2D	NM_024901.5	ENST00000357640.9
CHI3L2	NM_004000.3	ENST00000369748.9
CHIA	NM_201653.4	ENST00000369740.6
CIMAP3	NM_181643.6	ENST00000369738.9
OVGP1	NM_002557.4	ENST00000369732.4
WDR77	NM_024102.4	ENST00000235090.10
ATP5PB	NM_001688.5	ENST00000369722.8
C1orf162	NM_001300834.2	ENST00000369718.4
TMIGD3	NM_020683.7	ENST00000369716.9
ADORA3	NM_000677.4	ENST00000241356.5
RAP1A	NM_002884.4	ENST00000369709.4
INKA2	NM_019099.5	ENST00000357260.6
DDX20	NM_007204.5	ENST00000369702.5
KCND3	NM_001378969.1	ENST00000302127.5
CTTNBP2NL	NM_018704.3	ENST00000271277.11
WNT2B	NM_024494.3	ENST00000369684.5
ST7L	NM_017744.5	ENST00000358039.9
CAPZA1	NM_006135.3	ENST00000263168.4
MOV10	NM_001321324.2	ENST00000369645.6
RHOC	NM_175744.5	ENST00000339083.12
PPM1J	NM_005167.7	ENST00000309276.11
TAFA3	NM_182759.3	ENST00000361886.4
SLC16A1	NM_003051.4	ENST00000369626.8
LRIG2	NM_014813.3	ENST00000361127.6
MAGI3	NM_001142782.2	ENST00000307546.14
PHTF1	NM_001323043.2	ENST00000369604.6
RSBN1	NM_018364.5	ENST00000261441.9
PTPN22	NM_015967.8	ENST00000359785.10
BCL2L15	NM_001010922.3	ENST00000393316.8
AP4B1	NM_001253852.3	ENST00000369569.6
DCLRE1B	NM_022836.4	ENST00000650450.2
HIPK1	NM_198268.3	ENST00000426820.7
OLFML3	NM_020190.5	ENST00000320334.5
SYT6	NM_001253772.2	ENST00000610222.3
TRIM33	NM_015906.4	ENST00000358465.7
BCAS2	NM_005872.3	ENST00000369541.4
DENND2C	NM_001256404.2	ENST00000393274.6
AMPD1	NM_000036.3	ENST00000520113.7
NRAS	NM_002524.5	ENST00000369535.5
CSDE1	NM_001007553.3	ENST00000358528.9
SIKE1	NM_025073.3	ENST00000060969.6
SYCP1	NM_003176.4	ENST00000369522.8
TSHB	NM_000549.5	ENST00000256592.3
TSPAN2	NM_005725.6	ENST00000369516.7
NGF	NM_002506.3	ENST00000369512.3
VANGL1	NM_138959.3	ENST00000355485.7
CASQ2	NM_001232.4	ENST00000261448.6
NHLH2	NM_005599.3	ENST00000320238.3
SLC22A15	NM_018420.3	ENST00000369503.9
MAB21L3	NM_152367.3	ENST00000369500.4
ATP1A1	NM_000701.8	ENST00000295598.10
CD58	NM_001779.3	ENST00000369489.10
IGSF3	NM_001007237.3	ENST00000369486.8
CD2	NM_001767.5	ENST00000369478.4
PTGFRN	NM_020440.4	ENST00000393203.3
CD101	NM_001256106.3	ENST00000682167.1
TTF2	NM_003594.4	ENST00000369466.9
TRIM45	NM_025188.4	ENST00000256649.9
VTCN1	NM_024626.4	ENST00000369458.8
MAN1A2	NM_006699.5	ENST00000356554.7
TENT5C	NM_017709.4	ENST00000369448.4
GDAP2	NM_017686.4	ENST00000369443.10
WDR3	NM_006784.3	ENST00000349139.6
SPAG17	NM_206996.4	ENST00000336338.10
TBX15	NM_001330677.2	ENST00000369429.5
WARS2	NM_015836.4	ENST00000235521.5
HAO2	NM_016527.4	ENST00000325945.4
HSD3B2	NM_000198.4	ENST00000369416.4
HSD3B1	NM_000862.3	ENST00000369413.8
ZNF697	NM_001080470.2	ENST00000421812.3
PHGDH	NM_006623.4	ENST00000641023.2
HMGCS2	NM_005518.4	ENST00000369406.8
REG4	NM_032044.4	ENST00000256585.10
ADAM30	NM_021794.4	ENST00000369400.2
NOTCH2	NM_024408.4	ENST00000256646.7
SEC22B	NM_004892.6	ENST00000578049.4
NBPF8	NM_001037501.5	ENST00000698216.1
NOTCH2NLR	NM_001396072.1	ENST00000624419.3
PPIAL4A	NM_001143883.4	ENST00000577856.3
FAM72B	NM_001100910.2	ENST00000369390.7
SRGAP2C	NM_001329984.2	ENST00000367123.8
H3-7	NM_001372105.2	ENST00000392948.5
FAM72C	NM_001287385.2	ENST00000584486.6
PPIAL4E	NM_001144032.3	ENST00000581164.2
NBPF15	NM_001385408.1	ENST00000581897.7
PPIAL4F	NM_001164262.3	ENST00000581138.4
SRGAP2B	NM_001271870.5	ENST00000641863.3
FAM72D	NM_207418.3	ENST00000400889.3
PPIAL4D	NM_001164261.2	ENST00000544708.3
NBPF20	NM_001397211.1	ENST00000698833.1
GPR89A	NM_001097612.2	ENST00000313835.14
PDZK1	NM_001201325.2	ENST00000417171.6
CD160	NM_007053.4	ENST00000369288.7
RNF115	NM_014455.4	ENST00000582693.5
POLR3C	NM_006468.8	ENST00000334163.4
NUDT17	NM_001012758.3	ENST00000334513.6
PIAS3	NM_006099.3	ENST00000393045.7
ANKRD35	NM_144698.5	ENST00000355594.9
ITGA10	NM_003637.5	ENST00000369304.8
PEX11B	NM_003846.3	ENST00000369306.8
RBM8A	NM_005105.5	ENST00000583313.7
LIX1L	NM_153713.3	ENST00000604000.4
ANKRD34A	NM_001039888.4	ENST00000606888.3
POLR3GL	NM_032305.3	ENST00000369314.2
TXNIP	NM_006472.6	ENST00000582401.6
HJV	NM_213653.4	ENST00000336751.11
NBPF10	NM_001302371.3	ENST00000583866.9
NOTCH2NLA	NM_203458.6	ENST00000362074.8
PPIAL4H	NM_001368128.3	ENST00000584068.4
NBPF12	NM_001278141.3	ENST00000698835.1
PRKAB2	NM_005399.5	ENST00000254101.4
CHD1L	NM_004284.6	ENST00000369258.8
FMO5	NM_001461.4	ENST00000254090.9
BCL9	NM_004326.4	ENST00000234739.8
LOC128071544	NM_001414892.1	ENST00000675347.1
ACP6	NM_016361.5	ENST00000583509.7
GJA5	NM_181703.4	ENST00000579774.3
GJA8	NM_005267.5	ENST00000369235.2
GPR89B	NM_016334.5	ENST00000314163.12
NBPF11	NM_001385469.3	ENST00000682118.1
PPIAL4G	NM_001123068.3	ENST00000419275.3
NBPF14	NM_001395631.1	ENST00000619423.4
NOTCH2NLB	NM_001364008.2	ENST00000593495.4
NUDT4B	NM_001355407.2	ENST00000322209.5
PDE4DIP	NM_001395426.1	ENST00000695795.1
NBPF9	NM_001388367.1	ENST00000698832.1
NOTCH2NLC	NM_001364013.2	ENST00000650865.2
NBPF19	NM_001351365.2	ENST00000651566.2
PPIAL4C	NM_001135789.5	ENST00000585245.3
H2BC18	NM_001024599.5	ENST00000369167.3
FCGR1A	NM_000566.4	ENST00000369168.5
H3C13	NM_001123375.3	ENST00000331491.2
H4C14	NM_003548.2	ENST00000578186.3
H3C14	NM_021059.3	ENST00000369158.2
H2AC18	NM_003516.3	ENST00000369159.3
H4C15	NM_001034077.4	ENST00000579512.3
H2AC19	NM_001040874.1	ENST00000607355.3
H3C15	NM_001005464.3	ENST00000403683.2
H2BC21	NM_003528.3	ENST00000369155.4
H2AC20	NM_003517.3	ENST00000331380.4
H2AC21	NM_175065.3	ENST00000331128.6
BOLA1	NM_016074.5	ENST00000369152.6
SV2A	NM_014849.5	ENST00000369146.8
SF3B4	NM_005850.5	ENST00000271628.9
MTMR11	NM_001145862.2	ENST00000439741.4
OTUD7B	NM_020205.4	ENST00000581312.6
VPS45	NM_007259.5	ENST00000644510.2
PLEKHO1	NM_016274.6	ENST00000369124.5
ANP32E	NM_030920.5	ENST00000583931.6
CA14	NM_012113.3	ENST00000369111.9
APH1A	NM_001077628.3	ENST00000369109.8
C1orf54	NM_024579.4	ENST00000369099.8
CIART	NM_144697.4	ENST00000290363.6
MRPS21	NM_031901.6	ENST00000614145.5
PRPF3	NM_004698.4	ENST00000324862.7
RPRD2	NM_015203.5	ENST00000369068.5
TARS2	NM_025150.5	ENST00000369064.8
ECM1	NM_004425.4	ENST00000369047.9
ADAMTSL4	NM_019032.6	ENST00000271643.9
MCL1	NM_021960.5	ENST00000369026.3
ENSA	NM_004436.4	ENST00000369014.10
GOLPH3L	NM_018178.6	ENST00000271732.8
HORMAD1	NM_032132.5	ENST00000361824.7
CTSS	NM_004079.5	ENST00000368985.8
CTSK	NM_000396.4	ENST00000271651.8
ARNT	NM_001668.4	ENST00000358595.10
CTXND2	NM_001384189.2	ENST00000636087.1
SETDB1	NM_001366418.1	ENST00000692827.1
CERS2	NM_022075.5	ENST00000368954.10
ANXA9	NM_003568.3	ENST00000368947.9
MINDY1	NM_001376665.1	ENST00000683666.2
PRUNE1	NM_021222.3	ENST00000271620.8
BNIPL	NM_138278.4	ENST00000368931.8
C1orf56	NM_017860.5	ENST00000368926.6
CDC42SE1	NM_020239.4	ENST00000357235.6
MLLT11	NM_006818.4	ENST00000368921.5
GABPB2	NM_144618.3	ENST00000368918.8
SEMA6C	NM_030913.6	ENST00000368914.8
LYSMD1	NM_212551.5	ENST00000368908.10
TNFAIP8L2	NM_024575.5	ENST00000368910.4
SCNM1	NM_024041.4	ENST00000368905.9
